기준일자,집계기준일,TCS차종구분명,TCS차종구분코드,TCS차종유형구분명,TCS차종유형구분코드,TCS노선번호,TCS본부코드,TCS지사코드,노선명,순번,구분,교통량,방향구분코드,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,1,서울 -> 신갈JC,83226,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,2,신갈JC -> 수원신갈,98246,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,3,수원신갈 -> 기흥,88287,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,4,기흥 -> 기흥동탄,75609,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,71307,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,6,동탄JC -> 오산,79452,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,7,오산 -> 안성JC,77397,S,
20200927,20200927,1종,1,소형차,1,001,901,210300,경부선,8,안성JC -> 안성,71148,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,9,안성 -> 북천안,61879,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,10,북천안 -> 천안,63412,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,11,천안 -> 천안JC,55413,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,12,천안JC -> 목천,35091,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,13,목천 -> 옥산JC,33392,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,14,옥산JC -> 옥산,31163,S,
20200927,20200927,1종,1,소형차,1,001,903,410100,경부선,15,옥산 -> 청주,30644,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,16,청주 -> 남이JC,27797,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,17,남이JC -> 청주JC,50221,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,18,청주JC -> 남청주,42610,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,19,남청주 -> 신탄진,44091,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,20,신탄진 -> 회덕JC,40546,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,21,회덕JC -> 대전,31186,S,
20200927,20200927,1종,1,소형차,1,001,903,410200,경부선,22,대전 -> 비룡JC,29044,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,23,비룡JC -> 옥천,18325,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,24,옥천 -> 금강,12315,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,25,금강 -> 금강휴게소,11871,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,26,금강휴게소 -> 청성JC,11272,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,27,청성JC -> 영동,11272,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,28,영동 -> 황간,10190,S,
20200927,20200927,1종,1,소형차,1,001,903,410500,경부선,29,황간 -> 추풍령,9981,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,30,추풍령 -> 김천,10013,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,31,김천 -> 동김천,11115,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,32,동김천 -> 김천JC,13121,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,33,김천JC -> 구미,25165,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,34,구미 -> 남구미,28458,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,35,남구미 -> 왜관,32084,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,36,왜관 -> 칠곡물류,38796,S,
20200927,20200927,1종,1,소형차,1,001,905,610100,경부선,37,칠곡물류 -> 금호JC,39630,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,38,금호JC -> 북대구,58930,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,39,북대구 -> 도동JC,54395,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,40,도동JC -> 동대구JC,43970,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,41,동대구JC -> 경산,25642,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,42,경산 -> 영천,18144,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,43,영천 -> 북안JC,14610,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,44,북안JC -> 건천,21821,S,
20200927,20200927,1종,1,소형차,1,001,905,610200,경부선,45,건천 -> 경주,21594,S,
20200927,20200927,1종,1,소형차,1,001,906,710100,경부선,46,경주 -> 활천,21061,S,
20200927,20200927,1종,1,소형차,1,001,906,710100,경부선,47,활천 -> 언양JC,21535,S,
20200927,20200927,1종,1,소형차,1,001,906,710100,경부선,48,언양JC -> 서울산,28955,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,49,서울산 -> 통도사,33000,S,
20200927,20200927,1종,1,소형차,1,001,906,710900,경부선,50,통도사 -> 통도사휴게소,33624,S,
20200927,20200927,1종,1,소형차,1,001,906,710900,경부선,51,통도사휴게소 -> 양산,36706,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,52,양산 -> 양산JC,41768,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,53,양산JC -> 노포JC,31182,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,54,노포JC -> 노포,24135,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,55,노포 -> 노포JC2,21651,S,
20200927,20200927,1종,1,소형차,1,001,906,710500,경부선,56,노포JC2 -> 부산,29627,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,1,서울 -> 신갈JC,1029,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,2,신갈JC -> 수원신갈,1395,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,3,수원신갈 -> 기흥,955,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,4,기흥 -> 기흥동탄,846,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,889,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,6,동탄JC -> 오산,949,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,7,오산 -> 안성JC,660,S,
20200927,20200927,2종,2,중형차,2,001,901,210300,경부선,8,안성JC -> 안성,588,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,9,안성 -> 북천안,451,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,10,북천안 -> 천안,495,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,11,천안 -> 천안JC,454,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,12,천안JC -> 목천,313,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,13,목천 -> 옥산JC,310,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,14,옥산JC -> 옥산,291,S,
20200927,20200927,2종,2,중형차,2,001,903,410100,경부선,15,옥산 -> 청주,284,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,16,청주 -> 남이JC,221,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,17,남이JC -> 청주JC,494,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,18,청주JC -> 남청주,403,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,19,남청주 -> 신탄진,482,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,20,신탄진 -> 회덕JC,433,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,21,회덕JC -> 대전,268,S,
20200927,20200927,2종,2,중형차,2,001,903,410200,경부선,22,대전 -> 비룡JC,240,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,23,비룡JC -> 옥천,156,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,24,옥천 -> 금강,93,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,25,금강 -> 금강휴게소,96,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,26,금강휴게소 -> 청성JC,87,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,27,청성JC -> 영동,87,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,28,영동 -> 황간,73,S,
20200927,20200927,2종,2,중형차,2,001,903,410500,경부선,29,황간 -> 추풍령,73,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,30,추풍령 -> 김천,70,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,31,김천 -> 동김천,77,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,32,동김천 -> 김천JC,110,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,33,김천JC -> 구미,233,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,34,구미 -> 남구미,284,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,35,남구미 -> 왜관,311,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,36,왜관 -> 칠곡물류,416,S,
20200927,20200927,2종,2,중형차,2,001,905,610100,경부선,37,칠곡물류 -> 금호JC,509,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,38,금호JC -> 북대구,648,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,39,북대구 -> 도동JC,672,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,40,도동JC -> 동대구JC,563,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,41,동대구JC -> 경산,385,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,42,경산 -> 영천,135,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,43,영천 -> 북안JC,108,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,44,북안JC -> 건천,166,S,
20200927,20200927,2종,2,중형차,2,001,905,610200,경부선,45,건천 -> 경주,166,S,
20200927,20200927,2종,2,중형차,2,001,906,710100,경부선,46,경주 -> 활천,167,S,
20200927,20200927,2종,2,중형차,2,001,906,710100,경부선,47,활천 -> 언양JC,162,S,
20200927,20200927,2종,2,중형차,2,001,906,710100,경부선,48,언양JC -> 서울산,275,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,49,서울산 -> 통도사,299,S,
20200927,20200927,2종,2,중형차,2,001,906,710900,경부선,50,통도사 -> 통도사휴게소,310,S,
20200927,20200927,2종,2,중형차,2,001,906,710900,경부선,51,통도사휴게소 -> 양산,312,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,52,양산 -> 양산JC,419,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,53,양산JC -> 노포JC,268,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,54,노포JC -> 노포,195,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,55,노포 -> 노포JC2,173,S,
20200927,20200927,2종,2,중형차,2,001,906,710500,경부선,56,노포JC2 -> 부산,232,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,1,서울 -> 신갈JC,4773,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,2,신갈JC -> 수원신갈,4398,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,3,수원신갈 -> 기흥,3690,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,4,기흥 -> 기흥동탄,3525,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,3273,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,6,동탄JC -> 오산,3270,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,7,오산 -> 안성JC,3025,S,
20200927,20200927,3종,3,대형차,3,001,901,210300,경부선,8,안성JC -> 안성,3051,S,
20200927,20200927,3종,3,대형차,3,001,903,410100,경부선,9,안성 -> 북천안,2782,S,
20200927,20200927,3종,3,대형차,3,001,903,410100,경부선,10,북천안 -> 천안,2855,S,
20200927,20200927,3종,3,대형차,3,001,903,410100,경부선,11,천안 -> 천안JC,2579,S,
